lga,elevation_above_sea_level,Australian_Statistical_Geography_2016_ID,lgaLabel
http://www.wikidata.org/entity/Q5374040,4,SSC11415,Empire Bay
http://www.wikidata.org/entity/Q6881482,4,SSC12652,Mitchells Island
http://www.wikidata.org/entity/Q7005680,4,SSC12939,New Brighton
http://www.wikidata.org/entity/Q7057467,4,SSC51146,North Yunderup
http://www.wikidata.org/entity/Q7068370,4,SSC32213,Nudgee Beach
http://www.wikidata.org/entity/Q7416230,4,SSC32532,Sandgate
http://www.wikidata.org/entity/Q7732312,4,SSC13818,The Entrance
http://www.wikidata.org/entity/Q7826775,4,SSC32888,Torquay
http://www.wikidata.org/entity/Q7851647,4,SSC13951,Tuggerawong
http://www.wikidata.org/entity/Q7981307,4,SSC41547,Wellington
http://www.wikidata.org/entity/Q8022944,4,SSC51600,Wilson
http://www.wikidata.org/entity/Q14934862,4,SSC12142,Kincumber South
http://www.wikidata.org/entity/Q14934878,4,SSC12355,Little Pelican
http://www.wikidata.org/entity/Q14935756,4,SSC41037,North Shields
http://www.wikidata.org/entity/Q16258593,4,SSC10947,Cobaki
http://www.wikidata.org/entity/Q16900698,4,SSC32684,Steiglitz
http://www.wikidata.org/entity/Q16901149,4,SSC13747,Tanglewood
http://www.wikidata.org/entity/Q1025587,5,SSC11733,Grafton
http://www.wikidata.org/entity/Q1637676,5,SSC12216,Kurnell
http://www.wikidata.org/entity/Q1808787,5,SSC32526,Saibai Island
http://www.wikidata.org/entity/Q2104789,5,SSC60511,Port Sorell
http://www.wikidata.org/entity/Q2918153,5,SSC12230,La Perouse
http://www.wikidata.org/entity/Q3569819,5,SSC51620,Woodbridge
http://www.wikidata.org/entity/Q187861,5,SSC14358,Wollongong
http://www.wikidata.org/entity/Q256711,5,5003,Bunbury
http://www.wikidata.org/entity/Q595259,5,SSC13327,Raymond Terrace
http://www.wikidata.org/entity/Q606153,5,SSC13246,Port Macquarie
http://www.wikidata.org/entity/Q619097,5,SSC20048,Apollo Bay
http://www.wikidata.org/entity/Q627886,5,SSC20199,Bells Beach
http://www.wikidata.org/entity/Q1018597,5,SSC10733,Byron Bay
http://www.wikidata.org/entity/Q21955795,5,SSC32667,St Helens Beach
http://www.wikidata.org/entity/Q3966132,5,SSC51385,Spearwood
http://www.wikidata.org/entity/Q4884423,5,SSC10278,Belmont South
http://www.wikidata.org/entity/Q4943336,5,SSC10482,Boolaroo
http://www.wikidata.org/entity/Q5167933,5,SSC11047,Coopernook
http://www.wikidata.org/entity/Q5185739,5,SSC11116,Cringila
http://www.wikidata.org/entity/Q5329302,5,SSC50466,East Rockingham
http://www.wikidata.org/entity/Q5364699,5,SSC50480,Elleker
http://www.wikidata.org/entity/Q6270336,5,SSC12686,Monterey
http://www.wikidata.org/entity/Q7056174,5,SSC12999,North Narrabeen
http://www.wikidata.org/entity/Q7083446,5,SSC60470,Old Beach
http://www.wikidata.org/entity/Q7290260,5,SSC13310,Ramsgate Beach
http://www.wikidata.org/entity/Q7499749,5,SSC51337,Shoalwater
http://www.wikidata.org/entity/Q7501507,5,SSC32583,Shorncliffe
http://www.wikidata.org/entity/Q7600174,5,SSC41365,Stansbury
http://www.wikidata.org/entity/Q7807732,5,SSC32854,Tin Can Bay
http://www.wikidata.org/entity/Q7825438,5,SSC51449,Torbay
http://www.wikidata.org/entity/Q7851674,5,SSC32910,Tugun
http://www.wikidata.org/entity/Q7916151,5,SSC32962,Varsity Lakes
http://www.wikidata.org/entity/Q7974568,5,SSC22707,Waterways
http://www.wikidata.org/entity/Q16849921,5,SSC10729,Byangum
http://www.wikidata.org/entity/Q16890612,5,SSC11003,Condong
http://www.wikidata.org/entity/Q16903691,5,SSC33184,Woongoolba
http://www.wikidata.org/entity/Q21892421,5,SSC40317,Cowirra
http://www.wikidata.org/entity/Q21895618,5,SSC50551,Glen Iris
http://www.wikidata.org/entity/Q21912197,5,SSC60249,Greens Beach
http://www.wikidata.org/entity/Q21924722,5,SSC60130,Cowrie Point
http://www.wikidata.org/entity/Q3130,6,1GSYD,Sydney
http://www.wikidata.org/entity/Q178439,6,SSC50278,Cervantes
http://www.wikidata.org/entity/Q200777,6,SSC40236,Ceduna
http://www.wikidata.org/entity/Q286900,6,SSC60118,Clifton Beach
http://www.wikidata.org/entity/Q530368,6,SSC13533,Shellharbour
http://www.wikidata.org/entity/Q550465,6,SSC51248,Port Hedland
http://www.wikidata.org/entity/Q581659,6,SSC12430,Macksville
http://www.wikidata.org/entity/Q736110,6,SSC20079,Aspendale Gardens
http://www.wikidata.org/entity/Q828526,6,SSC12866,Murwillumbah
http://www.wikidata.org/entity/Q960332,6,SSC60173,Eaglehawk Neck
http://www.wikidata.org/entity/Q991138,6,SSC50821,Lancelin
http://www.wikidata.org/entity/Q1309107,6,5008,Karratha
http://www.wikidata.org/entity/Q1531061,6,SSC32180,Noosaville
http://www.wikidata.org/entity/Q1664472,6,LGA55110,City of Mandurah
http://www.wikidata.org/entity/Q2192804,6,SSC41188,Port MacDonnell
http://www.wikidata.org/entity/Q2219899,6,SSC41460,Tumby Bay
http://www.wikidata.org/entity/Q2910049,6,SSC30311,Bongaree
http://www.wikidata.org/entity/Q2976045,6,SSC10517,Botany
http://www.wikidata.org/entity/Q3331400,6,SSC12875,Mylestom
http://www.wikidata.org/entity/Q3723553,6,SSC40401,Elliston
http://www.wikidata.org/entity/Q4875881,6,SSC40081,Beachport
http://www.wikidata.org/entity/Q4967581,6,SSC10569,Brighton-Le-Sands
http://www.wikidata.org/entity/Q4999125,6,SSC30449,Burleigh Waters
http://www.wikidata.org/entity/Q5019060,6,SSC20441,Caldermeade
http://www.wikidata.org/entity/Q5038689,6,SSC20484,Cardinia
http://www.wikidata.org/entity/Q5046748,6,SSC20504,Carrum
http://www.wikidata.org/entity/Q5052730,6,SSC10857,Catherine Hill Bay
http://www.wikidata.org/entity/Q5102442,6,SSC10911,Chittaway Bay
http://www.wikidata.org/entity/Q5273835,6,SSC30847,Dicky Beach
http://www.wikidata.org/entity/Q6386530,6,SSC60297,Kelso
http://www.wikidata.org/entity/Q7148453,6,SSC22035,Patterson Lakes
http://www.wikidata.org/entity/Q7163358,6,SSC60497,Penna
http://www.wikidata.org/entity/Q7440490,6,SSC22239,Seaholme
http://www.wikidata.org/entity/Q7824200,6,SSC22533,Tooradin
http://www.wikidata.org/entity/Q7916922,6,SSC51475,Vasse
http://www.wikidata.org/entity/Q7969681,6,SSC22682,Warneet
http://www.wikidata.org/entity/Q7970696,6,SSC14173,Warriewood
http://www.wikidata.org/entity/Q8050155,6,SSC33243,Yatala
http://www.wikidata.org/entity/Q12736408,6,SSC12902,Narrabeen
http://www.wikidata.org/entity/Q14208816,6,SSC11469,Evans Head
http://www.wikidata.org/entity/Q16892804,6,SSC31440,Jacobs Well
http://www.wikidata.org/entity/Q16901870,6,SSC32882,Toorbul
http://www.wikidata.org/entity/Q19460815,6,SSC40219,Cape Jaffa
http://www.wikidata.org/entity/Q21885755,6,SSC41338,Solomontown
http://www.wikidata.org/entity/Q21895514,6,SSC41459,Tulka
http://www.wikidata.org/entity/Q21905016,6,SSC32435,Redlynch
http://www.wikidata.org/entity/Q21905228,6,SSC32458,Rita Island
http://www.wikidata.org/entity/Q21911398,6,SSC11561,Frederickton
http://www.wikidata.org/entity/Q21914763,6,SSC10612,Brownsville
http://www.wikidata.org/entity/Q21923426,6,SSC60589,Seven Mile Beach
http://www.wikidata.org/entity/Q21942310,6,SSC11133,Crowther Island
http://www.wikidata.org/entity/Q581879,7,SSC11550,Forster
http://www.wikidata.org/entity/Q584656,7,SSC10621,Brunswick Heads
http://www.wikidata.org/entity/Q752636,7,LGA11350,Byron Shire
http://www.wikidata.org/entity/Q810756,7,SSC10229,Batemans Bay
http://www.wikidata.org/entity/Q880954,7,SSC10399,Blackwall
http://www.wikidata.org/entity/Q945838,7,LGA48540,Whyalla
http://www.wikidata.org/entity/Q990636,7,LGA50980,Shire of Broome
http://www.wikidata.org/entity/Q1002144,7,SSC32636,Southport
http://www.wikidata.org/entity/Q1069125,7,SSC20535,Chelsea Heights
http://www.wikidata.org/entity/Q1105437,7,SSC32379,Coconut Island
http://www.wikidata.org/entity/Q1236246,7,LGA34420,Aboriginal Shire of Kowanyama
http://www.wikidata.org/entity/Q1500830,7,LGA23430,City of Kingston
http://www.wikidata.org/entity/Q1530307,7,SSC31911,Mooloolaba
http://www.wikidata.org/entity/Q1623026,7,SSC22095,Port Melbourne
http://www.wikidata.org/entity/Q1952253,7,SSC12828,Mullumbimby
